dataset,categoria,split,etiqueta,tipo_defecto,archivo,mascara,origen
mvtec,bottle,train,normal,,train/good/028.png,,data/datasets/mvtec/bottle/train/good/028.png
mvtec,bottle,train,normal,,train/good/029.png,,data/datasets/mvtec/bottle/train/good/029.png
mvtec,bottle,train,normal,,train/good/030.png,,data/datasets/mvtec/bottle/train/good/030.png
mvtec,bottle,train,normal,,train/good/031.png,,data/datasets/mvtec/bottle/train/good/031.png
mvtec,bottle,train,normal,,train/good/032.png,,data/datasets/mvtec/bottle/train/good/032.png
mvtec,bottle,train,normal,,train/good/033.png,,data/datasets/mvtec/bottle/train/good/033.png
mvtec,bottle,train,normal,,train/good/034.png,,data/datasets/mvtec/bottle/train/good/034.png
mvtec,bottle,train,normal,,train/good/035.png,,data/datasets/mvtec/bottle/train/good/035.png
mvtec,bottle,train,normal,,train/good/036.png,,data/datasets/mvtec/bottle/train/good/036.png
mvtec,bottle,train,normal,,train/good/037.png,,data/datasets/mvtec/bottle/train/good/037.png
mvtec,bottle,train,normal,,train/good/038.png,,data/datasets/mvtec/bottle/train/good/038.png
mvtec,bottle,train,normal,,train/good/039.png,,data/datasets/mvtec/bottle/train/good/039.png
mvtec,bottle,train,normal,,train/good/040.png,,data/datasets/mvtec/bottle/train/good/040.png
mvtec,bottle,train,normal,,train/good/041.png,,data/datasets/mvtec/bottle/train/good/041.png
mvtec,bottle,train,normal,,train/good/042.png,,data/datasets/mvtec/bottle/train/good/042.png
mvtec,bottle,train,normal,,train/good/043.png,,data/datasets/mvtec/bottle/train/good/043.png
mvtec,bottle,train,normal,,train/good/044.png,,data/datasets/mvtec/bottle/train/good/044.png
mvtec,bottle,train,normal,,train/good/045.png,,data/datasets/mvtec/bottle/train/good/045.png
mvtec,bottle,train,normal,,train/good/046.png,,data/datasets/mvtec/bottle/train/good/046.png
mvtec,bottle,train,normal,,train/good/047.png,,data/datasets/mvtec/bottle/train/good/047.png
mvtec,bottle,train,normal,,train/good/048.png,,data/datasets/mvtec/bottle/train/good/048.png
mvtec,bottle,train,normal,,train/good/049.png,,data/datasets/mvtec/bottle/train/good/049.png
mvtec,bottle,train,normal,,train/good/050.png,,data/datasets/mvtec/bottle/train/good/050.png
mvtec,bottle,train,normal,,train/good/051.png,,data/datasets/mvtec/bottle/train/good/051.png
mvtec,bottle,train,normal,,train/good/052.png,,data/datasets/mvtec/bottle/train/good/052.png
mvtec,bottle,train,normal,,train/good/053.png,,data/datasets/mvtec/bottle/train/good/053.png
mvtec,bottle,train,normal,,train/good/054.png,,data/datasets/mvtec/bottle/train/good/054.png
mvtec,bottle,train,normal,,train/good/055.png,,data/datasets/mvtec/bottle/train/good/055.png
mvtec,bottle,train,normal,,train/good/056.png,,data/datasets/mvtec/bottle/train/good/056.png
mvtec,bottle,train,normal,,train/good/057.png,,data/datasets/mvtec/bottle/train/good/057.png
mvtec,bottle,train,normal,,train/good/058.png,,data/datasets/mvtec/bottle/train/good/058.png
mvtec,bottle,train,normal,,train/good/059.png,,data/datasets/mvtec/bottle/train/good/059.png
mvtec,bottle,train,normal,,train/good/060.png,,data/datasets/mvtec/bottle/train/good/060.png
mvtec,bottle,train,normal,,train/good/061.png,,data/datasets/mvtec/bottle/train/good/061.png
mvtec,bottle,train,normal,,train/good/062.png,,data/datasets/mvtec/bottle/train/good/062.png
mvtec,bottle,train,normal,,train/good/063.png,,data/datasets/mvtec/bottle/train/good/063.png
mvtec,bottle,train,normal,,train/good/064.png,,data/datasets/mvtec/bottle/train/good/064.png
mvtec,bottle,train,normal,,train/good/065.png,,data/datasets/mvtec/bottle/train/good/065.png
mvtec,bottle,train,normal,,train/good/066.png,,data/datasets/mvtec/bottle/train/good/066.png
mvtec,bottle,train,normal,,train/good/067.png,,data/datasets/mvtec/bottle/train/good/067.png
mvtec,bottle,train,normal,,train/good/068.png,,data/datasets/mvtec/bottle/train/good/068.png
mvtec,bottle,train,normal,,train/good/069.png,,data/datasets/mvtec/bottle/train/good/069.png
mvtec,bottle,train,normal,,train/good/070.png,,data/datasets/mvtec/bottle/train/good/070.png
mvtec,bottle,train,normal,,train/good/071.png,,data/datasets/mvtec/bottle/train/good/071.png
mvtec,bottle,train,normal,,train/good/072.png,,data/datasets/mvtec/bottle/train/good/072.png
mvtec,bottle,train,normal,,train/good/073.png,,data/datasets/mvtec/bottle/train/good/073.png
mvtec,bottle,train,normal,,train/good/074.png,,data/datasets/mvtec/bottle/train/good/074.png
mvtec,bottle,train,normal,,train/good/075.png,,data/datasets/mvtec/bottle/train/good/075.png
mvtec,bottle,train,normal,,train/good/076.png,,data/datasets/mvtec/bottle/train/good/076.png
mvtec,bottle,train,normal,,train/good/077.png,,data/datasets/mvtec/bottle/train/good/077.png
mvtec,bottle,train,normal,,train/good/078.png,,data/datasets/mvtec/bottle/train/good/078.png
mvtec,bottle,train,normal,,train/good/079.png,,data/datasets/mvtec/bottle/train/good/079.png
mvtec,bottle,train,normal,,train/good/080.png,,data/datasets/mvtec/bottle/train/good/080.png
mvtec,bottle,train,normal,,train/good/081.png,,data/datasets/mvtec/bottle/train/good/081.png
mvtec,bottle,train,normal,,train/good/082.png,,data/datasets/mvtec/bottle/train/good/082.png
mvtec,bottle,train,normal,,train/good/083.png,,data/datasets/mvtec/bottle/train/good/083.png
mvtec,bottle,train,normal,,train/good/084.png,,data/datasets/mvtec/bottle/train/good/084.png
mvtec,bottle,train,normal,,train/good/085.png,,data/datasets/mvtec/bottle/train/good/085.png
mvtec,bottle,train,normal,,train/good/086.png,,data/datasets/mvtec/bottle/train/good/086.png
mvtec,bottle,train,normal,,train/good/087.png,,data/datasets/mvtec/bottle/train/good/087.png
mvtec,bottle,train,normal,,train/good/088.png,,data/datasets/mvtec/bottle/train/good/088.png
mvtec,bottle,train,normal,,train/good/089.png,,data/datasets/mvtec/bottle/train/good/089.png
mvtec,bottle,train,normal,,train/good/090.png,,data/datasets/mvtec/bottle/train/good/090.png
mvtec,bottle,train,normal,,train/good/091.png,,data/datasets/mvtec/bottle/train/good/091.png
mvtec,bottle,train,normal,,train/good/092.png,,data/datasets/mvtec/bottle/train/good/092.png
mvtec,bottle,train,normal,,train/good/093.png,,data/datasets/mvtec/bottle/train/good/093.png
mvtec,bottle,train,normal,,train/good/094.png,,data/datasets/mvtec/bottle/train/good/094.png
mvtec,bottle,train,normal,,train/good/095.png,,data/datasets/mvtec/bottle/train/good/095.png
mvtec,bottle,train,normal,,train/good/096.png,,data/datasets/mvtec/bottle/train/good/096.png
mvtec,bottle,train,normal,,train/good/097.png,,data/datasets/mvtec/bottle/train/good/097.png
mvtec,bottle,train,normal,,train/good/098.png,,data/datasets/mvtec/bottle/train/good/098.png
mvtec,bottle,train,normal,,train/good/099.png,,data/datasets/mvtec/bottle/train/good/099.png
mvtec,bottle,train,normal,,train/good/100.png,,data/datasets/mvtec/bottle/train/good/100.png
mvtec,bottle,train,normal,,train/good/101.png,,data/datasets/mvtec/bottle/train/good/101.png
mvtec,bottle,train,normal,,train/good/102.png,,data/datasets/mvtec/bottle/train/good/102.png
mvtec,bottle,train,normal,,train/good/103.png,,data/datasets/mvtec/bottle/train/good/103.png
mvtec,bottle,train,normal,,train/good/104.png,,data/datasets/mvtec/bottle/train/good/104.png
mvtec,bottle,train,normal,,train/good/105.png,,data/datasets/mvtec/bottle/train/good/105.png
mvtec,bottle,train,normal,,train/good/106.png,,data/datasets/mvtec/bottle/train/good/106.png
mvtec,bottle,train,normal,,train/good/107.png,,data/datasets/mvtec/bottle/train/good/107.png
mvtec,bottle,train,normal,,train/good/108.png,,data/datasets/mvtec/bottle/train/good/108.png
mvtec,bottle,train,normal,,train/good/109.png,,data/datasets/mvtec/bottle/train/good/109.png
mvtec,bottle,train,normal,,train/good/110.png,,data/datasets/mvtec/bottle/train/good/110.png
mvtec,bottle,train,normal,,train/good/111.png,,data/datasets/mvtec/bottle/train/good/111.png
mvtec,bottle,train,normal,,train/good/112.png,,data/datasets/mvtec/bottle/train/good/112.png
mvtec,bottle,train,normal,,train/good/113.png,,data/datasets/mvtec/bottle/train/good/113.png
mvtec,bottle,train,normal,,train/good/114.png,,data/datasets/mvtec/bottle/train/good/114.png
mvtec,bottle,train,normal,,train/good/115.png,,data/datasets/mvtec/bottle/train/good/115.png
mvtec,bottle,train,normal,,train/good/116.png,,data/datasets/mvtec/bottle/train/good/116.png
mvtec,bottle,train,normal,,train/good/117.png,,data/datasets/mvtec/bottle/train/good/117.png
mvtec,bottle,train,normal,,train/good/118.png,,data/datasets/mvtec/bottle/train/good/118.png
mvtec,bottle,train,normal,,train/good/119.png,,data/datasets/mvtec/bottle/train/good/119.png
mvtec,bottle,train,normal,,train/good/120.png,,data/datasets/mvtec/bottle/train/good/120.png
mvtec,bottle,train,normal,,train/good/121.png,,data/datasets/mvtec/bottle/train/good/121.png
mvtec,bottle,train,normal,,train/good/122.png,,data/datasets/mvtec/bottle/train/good/122.png
mvtec,bottle,train,normal,,train/good/123.png,,data/datasets/mvtec/bottle/train/good/123.png
mvtec,bottle,train,normal,,train/good/124.png,,data/datasets/mvtec/bottle/train/good/124.png
mvtec,bottle,train,normal,,train/good/125.png,,data/datasets/mvtec/bottle/train/good/125.png
mvtec,bottle,train,normal,,train/good/126.png,,data/datasets/mvtec/bottle/train/good/126.png
mvtec,bottle,train,normal,,train/good/127.png,,data/datasets/mvtec/bottle/train/good/127.png
mvtec,bottle,train,normal,,train/good/128.png,,data/datasets/mvtec/bottle/train/good/128.png
mvtec,bottle,train,normal,,train/good/129.png,,data/datasets/mvtec/bottle/train/good/129.png
mvtec,bottle,train,normal,,train/good/130.png,,data/datasets/mvtec/bottle/train/good/130.png
mvtec,bottle,train,normal,,train/good/131.png,,data/datasets/mvtec/bottle/train/good/131.png
mvtec,bottle,train,normal,,train/good/132.png,,data/datasets/mvtec/bottle/train/good/132.png
mvtec,bottle,train,normal,,train/good/133.png,,data/datasets/mvtec/bottle/train/good/133.png
mvtec,bottle,train,normal,,train/good/134.png,,data/datasets/mvtec/bottle/train/good/134.png
mvtec,bottle,train,normal,,train/good/135.png,,data/datasets/mvtec/bottle/train/good/135.png
mvtec,bottle,train,normal,,train/good/136.png,,data/datasets/mvtec/bottle/train/good/136.png
mvtec,bottle,train,normal,,train/good/137.png,,data/datasets/mvtec/bottle/train/good/137.png
mvtec,bottle,train,normal,,train/good/138.png,,data/datasets/mvtec/bottle/train/good/138.png
mvtec,bottle,train,normal,,train/good/139.png,,data/datasets/mvtec/bottle/train/good/139.png
mvtec,bottle,train,normal,,train/good/140.png,,data/datasets/mvtec/bottle/train/good/140.png
mvtec,bottle,train,normal,,train/good/141.png,,data/datasets/mvtec/bottle/train/good/141.png
mvtec,bottle,train,normal,,train/good/142.png,,data/datasets/mvtec/bottle/train/good/142.png
mvtec,bottle,train,normal,,train/good/143.png,,data/datasets/mvtec/bottle/train/good/143.png
mvtec,bottle,train,normal,,train/good/144.png,,data/datasets/mvtec/bottle/train/good/144.png
mvtec,bottle,train,normal,,train/good/145.png,,data/datasets/mvtec/bottle/train/good/145.png
mvtec,bottle,train,normal,,train/good/146.png,,data/datasets/mvtec/bottle/train/good/146.png
mvtec,bottle,train,normal,,train/good/147.png,,data/datasets/mvtec/bottle/train/good/147.png
mvtec,bottle,train,normal,,train/good/148.png,,data/datasets/mvtec/bottle/train/good/148.png
mvtec,bottle,train,normal,,train/good/149.png,,data/datasets/mvtec/bottle/train/good/149.png
mvtec,bottle,train,normal,,train/good/150.png,,data/datasets/mvtec/bottle/train/good/150.png
mvtec,bottle,train,normal,,train/good/151.png,,data/datasets/mvtec/bottle/train/good/151.png
mvtec,bottle,train,normal,,train/good/152.png,,data/datasets/mvtec/bottle/train/good/152.png
mvtec,bottle,train,normal,,train/good/153.png,,data/datasets/mvtec/bottle/train/good/153.png
mvtec,bottle,train,normal,,train/good/154.png,,data/datasets/mvtec/bottle/train/good/154.png
mvtec,bottle,train,normal,,train/good/155.png,,data/datasets/mvtec/bottle/train/good/155.png
mvtec,bottle,train,normal,,train/good/156.png,,data/datasets/mvtec/bottle/train/good/156.png
mvtec,bottle,train,normal,,train/good/157.png,,data/datasets/mvtec/bottle/train/good/157.png
mvtec,bottle,train,normal,,train/good/158.png,,data/datasets/mvtec/bottle/train/good/158.png
mvtec,bottle,train,normal,,train/good/159.png,,data/datasets/mvtec/bottle/train/good/159.png
mvtec,bottle,train,normal,,train/good/160.png,,data/datasets/mvtec/bottle/train/good/160.png
mvtec,bottle,train,normal,,train/good/161.png,,data/datasets/mvtec/bottle/train/good/161.png
mvtec,bottle,train,normal,,train/good/162.png,,data/datasets/mvtec/bottle/train/good/162.png
mvtec,bottle,train,normal,,train/good/163.png,,data/datasets/mvtec/bottle/train/good/163.png
mvtec,bottle,train,normal,,train/good/164.png,,data/datasets/mvtec/bottle/train/good/164.png
mvtec,bottle,train,normal,,train/good/165.png,,data/datasets/mvtec/bottle/train/good/165.png
mvtec,bottle,train,normal,,train/good/166.png,,data/datasets/mvtec/bottle/train/good/166.png
mvtec,bottle,train,normal,,train/good/167.png,,data/datasets/mvtec/bottle/train/good/167.png
mvtec,bottle,train,normal,,train/good/168.png,,data/datasets/mvtec/bottle/train/good/168.png
mvtec,bottle,train,normal,,train/good/169.png,,data/datasets/mvtec/bottle/train/good/169.png
mvtec,bottle,train,normal,,train/good/170.png,,data/datasets/mvtec/bottle/train/good/170.png
mvtec,bottle,train,normal,,train/good/171.png,,data/datasets/mvtec/bottle/train/good/171.png
mvtec,bottle,train,normal,,train/good/172.png,,data/datasets/mvtec/bottle/train/good/172.png
mvtec,bottle,train,normal,,train/good/173.png,,data/datasets/mvtec/bottle/train/good/173.png
mvtec,bottle,train,normal,,train/good/174.png,,data/datasets/mvtec/bottle/train/good/174.png
mvtec,bottle,train,normal,,train/good/175.png,,data/datasets/mvtec/bottle/train/good/175.png
mvtec,bottle,train,normal,,train/good/176.png,,data/datasets/mvtec/bottle/train/good/176.png
mvtec,bottle,train,normal,,train/good/177.png,,data/datasets/mvtec/bottle/train/good/177.png
mvtec,bottle,train,normal,,train/good/178.png,,data/datasets/mvtec/bottle/train/good/178.png
mvtec,bottle,train,normal,,train/good/179.png,,data/datasets/mvtec/bottle/train/good/179.png
mvtec,bottle,train,normal,,train/good/180.png,,data/datasets/mvtec/bottle/train/good/180.png
mvtec,bottle,train,normal,,train/good/181.png,,data/datasets/mvtec/bottle/train/good/181.png
mvtec,bottle,train,normal,,train/good/182.png,,data/datasets/mvtec/bottle/train/good/182.png
mvtec,bottle,train,normal,,train/good/183.png,,data/datasets/mvtec/bottle/train/good/183.png
mvtec,bottle,train,normal,,train/good/184.png,,data/datasets/mvtec/bottle/train/good/184.png
mvtec,bottle,train,normal,,train/good/185.png,,data/datasets/mvtec/bottle/train/good/185.png
mvtec,bottle,train,normal,,train/good/186.png,,data/datasets/mvtec/bottle/train/good/186.png
mvtec,bottle,train,normal,,train/good/187.png,,data/datasets/mvtec/bottle/train/good/187.png
mvtec,bottle,train,normal,,train/good/188.png,,data/datasets/mvtec/bottle/train/good/188.png
mvtec,bottle,train,normal,,train/good/189.png,,data/datasets/mvtec/bottle/train/good/189.png
mvtec,bottle,train,normal,,train/good/190.png,,data/datasets/mvtec/bottle/train/good/190.png
mvtec,bottle,train,normal,,train/good/191.png,,data/datasets/mvtec/bottle/train/good/191.png
mvtec,bottle,train,normal,,train/good/192.png,,data/datasets/mvtec/bottle/train/good/192.png
mvtec,bottle,train,normal,,train/good/193.png,,data/datasets/mvtec/bottle/train/good/193.png
mvtec,bottle,train,normal,,train/good/194.png,,data/datasets/mvtec/bottle/train/good/194.png
mvtec,bottle,train,normal,,train/good/195.png,,data/datasets/mvtec/bottle/train/good/195.png
mvtec,bottle,train,normal,,train/good/196.png,,data/datasets/mvtec/bottle/train/good/196.png
mvtec,bottle,train,normal,,train/good/197.png,,data/datasets/mvtec/bottle/train/good/197.png
mvtec,bottle,train,normal,,train/good/198.png,,data/datasets/mvtec/bottle/train/good/198.png
mvtec,bottle,train,normal,,train/good/199.png,,data/datasets/mvtec/bottle/train/good/199.png
mvtec,bottle,train,normal,,train/good/200.png,,data/datasets/mvtec/bottle/train/good/200.png
mvtec,bottle,train,normal,,train/good/201.png,,data/datasets/mvtec/bottle/train/good/201.png
mvtec,bottle,train,normal,,train/good/202.png,,data/datasets/mvtec/bottle/train/good/202.png
mvtec,bottle,train,normal,,train/good/203.png,,data/datasets/mvtec/bottle/train/good/203.png
mvtec,bottle,train,normal,,train/good/204.png,,data/datasets/mvtec/bottle/train/good/204.png
mvtec,bottle,train,normal,,train/good/205.png,,data/datasets/mvtec/bottle/train/good/205.png
mvtec,bottle,train,normal,,train/good/206.png,,data/datasets/mvtec/bottle/train/good/206.png
mvtec,bottle,train,normal,,train/good/207.png,,data/datasets/mvtec/bottle/train/good/207.png
mvtec,bottle,train,normal,,train/good/208.png,,data/datasets/mvtec/bottle/train/good/208.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_000.png,train/masks/broken_large_000.png,data/datasets/mvtec/bottle/test/broken_large/000.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_001.png,train/masks/broken_large_001.png,data/datasets/mvtec/bottle/test/broken_large/001.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_005.png,train/masks/broken_large_005.png,data/datasets/mvtec/bottle/test/broken_large/005.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_006.png,train/masks/broken_large_006.png,data/datasets/mvtec/bottle/test/broken_large/006.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_010.png,train/masks/broken_large_010.png,data/datasets/mvtec/bottle/test/broken_large/010.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_011.png,train/masks/broken_large_011.png,data/datasets/mvtec/bottle/test/broken_large/011.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_012.png,train/masks/broken_large_012.png,data/datasets/mvtec/bottle/test/broken_large/012.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_015.png,train/masks/broken_large_015.png,data/datasets/mvtec/bottle/test/broken_large/015.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_017.png,train/masks/broken_large_017.png,data/datasets/mvtec/bottle/test/broken_large/017.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_018.png,train/masks/broken_large_018.png,data/datasets/mvtec/bottle/test/broken_large/018.png
mvtec,bottle,train,anomaly,broken_large,train/anomaly/broken_large_019.png,train/masks/broken_large_019.png,data/datasets/mvtec/bottle/test/broken_large/019.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_000.png,train/masks/broken_small_000.png,data/datasets/mvtec/bottle/test/broken_small/000.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_001.png,train/masks/broken_small_001.png,data/datasets/mvtec/bottle/test/broken_small/001.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_004.png,train/masks/broken_small_004.png,data/datasets/mvtec/bottle/test/broken_small/004.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_005.png,train/masks/broken_small_005.png,data/datasets/mvtec/bottle/test/broken_small/005.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_006.png,train/masks/broken_small_006.png,data/datasets/mvtec/bottle/test/broken_small/006.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_007.png,train/masks/broken_small_007.png,data/datasets/mvtec/bottle/test/broken_small/007.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_008.png,train/masks/broken_small_008.png,data/datasets/mvtec/bottle/test/broken_small/008.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_012.png,train/masks/broken_small_012.png,data/datasets/mvtec/bottle/test/broken_small/012.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_015.png,train/masks/broken_small_015.png,data/datasets/mvtec/bottle/test/broken_small/015.png
mvtec,bottle,train,anomaly,broken_small,train/anomaly/broken_small_020.png,train/masks/broken_small_020.png,data/datasets/mvtec/bottle/test/broken_small/020.png
mvtec,bottle,test,normal,,test/good/000.png,,data/datasets/mvtec/bottle/test/good/000.png
mvtec,bottle,test,normal,,test/good/001.png,,data/datasets/mvtec/bottle/test/good/001.png
mvtec,bottle,test,normal,,test/good/002.png,,data/datasets/mvtec/bottle/test/good/002.png
mvtec,bottle,test,normal,,test/good/003.png,,data/datasets/mvtec/bottle/test/good/003.png
mvtec,bottle,test,normal,,test/good/004.png,,data/datasets/mvtec/bottle/test/good/004.png
mvtec,bottle,test,normal,,test/good/005.png,,data/datasets/mvtec/bottle/test/good/005.png
mvtec,bottle,test,normal,,test/good/006.png,,data/datasets/mvtec/bottle/test/good/006.png
mvtec,bottle,test,normal,,test/good/007.png,,data/datasets/mvtec/bottle/test/good/007.png
mvtec,bottle,test,normal,,test/good/008.png,,data/datasets/mvtec/bottle/test/good/008.png
mvtec,bottle,test,normal,,test/good/009.png,,data/datasets/mvtec/bottle/test/good/009.png
mvtec,bottle,test,normal,,test/good/010.png,,data/datasets/mvtec/bottle/test/good/010.png
mvtec,bottle,test,normal,,test/good/011.png,,data/datasets/mvtec/bottle/test/good/011.png
mvtec,bottle,test,normal,,test/good/012.png,,data/datasets/mvtec/bottle/test/good/012.png
mvtec,bottle,test,normal,,test/good/013.png,,data/datasets/mvtec/bottle/test/good/013.png
mvtec,bottle,test,normal,,test/good/014.png,,data/datasets/mvtec/bottle/test/good/014.png
mvtec,bottle,test,normal,,test/good/015.png,,data/datasets/mvtec/bottle/test/good/015.png
mvtec,bottle,test,normal,,test/good/016.png,,data/datasets/mvtec/bottle/test/good/016.png
mvtec,bottle,test,normal,,test/good/017.png,,data/datasets/mvtec/bottle/test/good/017.png
mvtec,bottle,test,normal,,test/good/018.png,,data/datasets/mvtec/bottle/test/good/018.png
mvtec,bottle,test,normal,,test/good/019.png,,data/datasets/mvtec/bottle/test/good/019.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_002.png,test/masks/broken_large_002.png,data/datasets/mvtec/bottle/test/broken_large/002.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_003.png,test/masks/broken_large_003.png,data/datasets/mvtec/bottle/test/broken_large/003.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_004.png,test/masks/broken_large_004.png,data/datasets/mvtec/bottle/test/broken_large/004.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_007.png,test/masks/broken_large_007.png,data/datasets/mvtec/bottle/test/broken_large/007.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_008.png,test/masks/broken_large_008.png,data/datasets/mvtec/bottle/test/broken_large/008.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_009.png,test/masks/broken_large_009.png,data/datasets/mvtec/bottle/test/broken_large/009.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_013.png,test/masks/broken_large_013.png,data/datasets/mvtec/bottle/test/broken_large/013.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_014.png,test/masks/broken_large_014.png,data/datasets/mvtec/bottle/test/broken_large/014.png
mvtec,bottle,test,anomaly,broken_large,test/anomaly/broken_large_016.png,test/masks/broken_large_016.png,data/datasets/mvtec/bottle/test/broken_large/016.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_002.png,test/masks/broken_small_002.png,data/datasets/mvtec/bottle/test/broken_small/002.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_003.png,test/masks/broken_small_003.png,data/datasets/mvtec/bottle/test/broken_small/003.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_009.png,test/masks/broken_small_009.png,data/datasets/mvtec/bottle/test/broken_small/009.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_010.png,test/masks/broken_small_010.png,data/datasets/mvtec/bottle/test/broken_small/010.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_011.png,test/masks/broken_small_011.png,data/datasets/mvtec/bottle/test/broken_small/011.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_013.png,test/masks/broken_small_013.png,data/datasets/mvtec/bottle/test/broken_small/013.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_014.png,test/masks/broken_small_014.png,data/datasets/mvtec/bottle/test/broken_small/014.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_016.png,test/masks/broken_small_016.png,data/datasets/mvtec/bottle/test/broken_small/016.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_017.png,test/masks/broken_small_017.png,data/datasets/mvtec/bottle/test/broken_small/017.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_018.png,test/masks/broken_small_018.png,data/datasets/mvtec/bottle/test/broken_small/018.png
mvtec,bottle,test,anomaly,broken_small,test/anomaly/broken_small_019.png,test/masks/broken_small_019.png,data/datasets/mvtec/bottle/test/broken_small/019.png
